FAMILY NAME;SPECIES/SUBSPECIES;GENUS NAME;SUBGENUS NAME;SPECIES NAME;SUBSPECIES NAME;AUTHORSHIP
Acrididae;Acanthacris ruficornis (Fabricius, 1787);Acanthacris;;ruficornis;;(Fabricius, 1787)
Acrididae;Acrida bicolor (Thunberg, 1815);Acrida;;bicolor;;(Thunberg, 1815)
Acrididae;Acrida oxycephala (Pallas, 1771);Acrida;;oxycephala;;(Pallas, 1771)
Acrididae;Acrida turrita (Linnaeus, 1758);Acrida;;turrita;;(Linnaeus, 1758)
Acrididae;Acrida ungarica (Herbst, 1786);Acrida;;ungarica;;(Herbst, 1786)
Acrididae;Acrotylus fischeri Azam, 1901;Acrotylus;;fischeri;;Azam, 1901
Acrididae;Acrotylus insubricus (Scopoli, 1786);Acrotylus;;insubricus;;(Scopoli, 1786)
Acrididae;Acrotylus longipes (Charpentier, 1845);Acrotylus;;longipes;;(Charpentier, 1845)
Acrididae;Acrotylus patruelis (Herrich-Schäffer, 1838);Acrotylus;;patruelis;;(Herrich-Schäffer, 1838)
Acrididae;Aeropedellus variegatus (Fischer de Waldheim, 1846);Aeropedellus;;variegatus;;(Fischer de Waldheim, 1846)
Acrididae;Aeropedellus volgensis (Predtetshenskii, 1928);Aeropedellus;;volgensis;;(Predtetshenskii, 1928)
Acrididae;Aiolopus simulatrix (Walker, 1870);Aiolopus;;simulatrix;;(Walker, 1870)
Acrididae;Aiolopus strepens (Latreille, 1804);Aiolopus;;strepens;;(Latreille, 1804)
Acrididae;Aiolopus thalassinus (Fabricius, 1781);Aiolopus;;thalassinus;;(Fabricius, 1781)
Acrididae;Anacridium aegyptium (Linnaeus, 1764);Anacridium;;aegyptium;;(Linnaeus, 1764)
Acrididae;Anganacris barabensis (Pallas, 1773);Anganacris;;barabensis;;(Pallas, 1773)
Acrididae;Arcyptera (Arcyptera) fusca (Pallas, 1773);Arcyptera;Arcyptera;fusca;;(Pallas, 1773)
Acrididae;Arcyptera (Arcyptera) tornosi Bolívar, 1884;Arcyptera;Arcyptera;tornosi;;Bolívar, 1884
Acrididae;Arcyptera (Pararcyptera) brevipennis (Brunner von Wattenwyl, 1861);Arcyptera;Pararcyptera;brevipennis;;(Brunner von Wattenwyl, 1861)
Acrididae;Arcyptera (Pararcyptera) labiata (Brullé, 1832);Arcyptera;Pararcyptera;labiata;;(Brullé, 1832)
Acrididae;Arcyptera (Pararcyptera) microptera (Fischer de Waldheim, 1833);Arcyptera;Pararcyptera;microptera;;(Fischer de Waldheim, 1833)
Acrididae;Arminda (Arminda) brunneri Krauss, 1892;Arminda;Arminda;brunneri;;Krauss, 1892
Acrididae;Arminda (Arminda) burri Uvarov, 1935;Arminda;Arminda;burri;;Uvarov, 1935
Acrididae;Arminda (Arminda) fuerteventurae Holzapfel, 1972;Arminda;Arminda;fuerteventurae;;Holzapfel, 1972
Acrididae;Arminda (Arminda) hierroensis Enderlein, 1930;Arminda;Arminda;hierroensis;;Enderlein, 1930
Acrididae;Arminda (Arminda) lancerottensis Holzapfel, 1972;Arminda;Arminda;lancerottensis;;Holzapfel, 1972
Acrididae;Arminda (Arminda) latifrons Enderlein, 1930;Arminda;Arminda;latifrons;;Enderlein, 1930
Acrididae;Arminda (Chopardminda) canariensis Morales Agacino, 1941;Arminda;Chopardminda;canariensis;;Morales Agacino, 1941
Acrididae;Bohemanella frigida (Boheman, 1846);Bohemanella;;frigida;;(Boheman, 1846)
Acrididae;Brachycrotaphus tryxalicerus (Fischer, 1853);Brachycrotaphus;;tryxalicerus;;(Fischer, 1853)
Acrididae;Bryodemella tuberculata (Fabricius, 1775);Bryodemella;;tuberculata;;(Fabricius, 1775)
Acrididae;Calephorus compressicornis (Latreille, 1804);Calephorus;;compressicornis;;(Latreille, 1804)
Acrididae;Calliptamus barbarus (Costa, 1836);Calliptamus;;barbarus;;(Costa, 1836)
Acrididae;Calliptamus coelesyriensis (Giglio-Tos, 1893);Calliptamus;;coelesyriensis;;(Giglio-Tos, 1893)
Acrididae;Calliptamus italicus (Linnaeus, 1758);Calliptamus;;italicus;;(Linnaeus, 1758)
Acrididae;Calliptamus madeirae Uvarov, 1937;Calliptamus;;madeirae;;Uvarov, 1937
Acrididae;Calliptamus plebeius (Walker, 1870);Calliptamus;;plebeius;;(Walker, 1870)
Acrididae;Calliptamus siciliae Ramme, 1927;Calliptamus;;siciliae;;Ramme, 1927
Acrididae;Calliptamus tenuicercis Tarbinskii, 1930;Calliptamus;;tenuicercis;;Tarbinskii, 1930
Acrididae;Calliptamus wattenwylianus (Pantel, 1896);Calliptamus;;wattenwylianus;;(Pantel, 1896)
Acrididae;Celes variabilis (Pallas, 1771);Celes;;variabilis;;(Pallas, 1771)
Acrididae;Chorthippus acroleucus (Müller, 1924);Chorthippus;;acroleucus;;(Müller, 1924)
Acrididae;Chorthippus albomarginatus (De Geer, 1773);Chorthippus;;albomarginatus;;(De Geer, 1773)
Acrididae;Chorthippus alticola alticola Ramme, 1921;Chorthippus;;alticola;alticola;Ramme, 1921
Acrididae;Chorthippus alticola rammei (Ebner, 1928);Chorthippus;;alticola;rammei;(Ebner, 1928)
Acrididae;Chorthippus alticola Ramme, 1921;Chorthippus;;alticola;;Ramme, 1921
Acrididae;Chorthippus apicalis (Herrich-Schäffer, 1840);Chorthippus;;apicalis;;(Herrich-Schäffer, 1840)
Acrididae;Chorthippus apricarius (Linnaeus, 1758);Chorthippus;;apricarius;;(Linnaeus, 1758)
Acrididae;Chorthippus ariasi (Bolívar, 1908);Chorthippus;;ariasi;;(Bolívar, 1908)
Acrididae;Chorthippus biguttulus (Linnaeus, 1758);Chorthippus;;biguttulus;;(Linnaeus, 1758)
Acrididae;Chorthippus binotatus (Charpentier, 1825);Chorthippus;;binotatus;;(Charpentier, 1825)
Acrididae;Chorthippus biroi (Kuthy, 1907);Chorthippus;;biroi;;(Kuthy, 1907)
Acrididae;Chorthippus bornhalmi Harz, 1971;Chorthippus;;bornhalmi;;Harz, 1971
Acrididae;Chorthippus brunneus (Thunberg, 1815);Chorthippus;;brunneus;;(Thunberg, 1815)
Acrididae;Chorthippus bruttius Fontana & La Greca, 1999;Chorthippus;;bruttius;;Fontana & La Greca, 1999
Acrididae;Chorthippus cazurroi (Bolívar, 1898);Chorthippus;;cazurroi;;(Bolívar, 1898)
Acrididae;Chorthippus chloroticus (Bolívar, 1908);Chorthippus;;chloroticus;;(Bolívar, 1908)
Acrididae;Chorthippus cialancensis Nadig, 1986;Chorthippus;;cialancensis;;Nadig, 1986
Acrididae;Chorthippus corsicus (Chopard, 1923);Chorthippus;;corsicus;;(Chopard, 1923)
